iter	Passed	Remaining
0	222	445593
1	268	268506
2	323	215152
3	366	182767
4	398	158973
5	433	144217
6	480	136767
7	519	129232
8	556	123218
9	587	116940
10	619	111975
11	655	108536
12	682	104366
13	713	101187
14	740	98003
15	766	95044
16	796	92895
17	828	91235
18	857	89445
19	887	87841
20	916	86374
21	946	85118
22	977	83997
23	1003	82605
24	1036	81850
25	1067	81061
26	1098	80240
27	1132	79790
28	1161	78912
29	1193	78386
30	1225	77854
31	1254	77162
32	1285	76632
33	1313	75966
34	1342	75351
35	1370	74753
36	1398	74206
37	1423	73493
38	1447	72776
39	1472	72155
40	1500	71686
41	1525	71126
42	1551	70620
43	1577	70140
44	1605	69739
45	1638	69581
46	1666	69265
47	1694	68894
48	1719	68483
49	1745	68087
50	1771	67686
51	1794	67226
52	1822	66957
53	1847	66570
54	1869	66124
55	1896	65820
56	1926	65672
57	1957	65556
58	1987	65376
59	2010	65018
60	2055	65330
61	2088	65271
62	2122	65247
63	2152	65111
64	2182	64973
65	2212	64824
66	2243	64736
67	2277	64702
68	2309	64633
69	2343	64603
70	2372	64470
71	2403	64369
72	2441	64461
73	2474	64412
74	2507	64369
75	2553	64637
76	2595	64814
77	2631	64842
78	2667	64855
79	2716	65194
80	2746	65073
81	2779	65023
82	2817	65066
83	2855	65135
84	2895	65226
85	2978	66278
86	3016	66337
87	3070	66708
88	3134	67304
89	3178	67446
90	3218	67508
91	3410	70736
92	3460	70968
93	3489	70753
94	3517	70532
95	3544	70298
96	3571	70075
97	3603	69931
98	3627	69649
99	3658	69516
100	3685	69287
101	3719	69214
102	3753	69129
103	3779	68898
104	3808	68730
105	3837	68565
106	3870	68476
107	3898	68301
108	3922	68058
109	3949	67867
110	3976	67675
111	4002	67468
112	4030	67305
113	4054	67084
114	4083	66926
115	4108	66727
116	4134	66537
117	4161	66367
118	4191	66258
119	4217	66070
120	4244	65910
121	4272	65765
122	4297	65584
123	4324	65423
124	4349	65242
125	4374	65058
126	4492	66249
127	4537	66364
128	4566	66226
129	4588	66006
130	4618	65895
131	4641	65689
132	4670	65561
133	4696	65404
134	4725	65275
135	4749	65102
136	4777	64960
137	4803	64808
138	4827	64636
139	4860	64578
140	4888	64457
141	4914	64307
142	4938	64134
143	4961	63954
144	4989	63836
145	5022	63780
146	5051	63671
147	5080	63573
148	5106	63441
149	5133	63315
150	5159	63181
151	5184	63031
152	5208	62878
153	5237	62784
154	5262	62638
155	5289	62526
156	5315	62401
157	5341	62275
158	5365	62130
159	5394	62035
160	5423	61954
161	5455	61899
162	5482	61792
163	5509	61678
164	5539	61611
165	5571	61549
166	5603	61506
167	5652	61638
168	5692	61677
169	5732	61711
170	5788	61918
171	5827	61937
172	5866	61959
173	5898	61898
174	5935	61893
175	5966	61832
176	5997	61768
177	6027	61698
178	6057	61627
179	6099	61668
180	6128	61589
181	6159	61523
182	6189	61451
183	6219	61381
184	6252	61338
185	6282	61270
